p,kind,vkind,C,accuracy,voc
1.0,IdfModel,IdfModel,10.0,0.3506666666666667,71503
1.0,IdfModel,IdfModel,1.0,0.35,71503
1.0,IdfModel,IdfModel,0.1,0.35333333333333333,71503
1.0,IdfModel,IdfModel,0.01,0.3313333333333333,71503
1.0,IdfModel,FreqModel,10.0,0.3473333333333333,71503
1.0,IdfModel,FreqModel,1.0,0.3506666666666667,71503
1.0,IdfModel,FreqModel,0.1,0.322,71503
1.0,IdfModel,FreqModel,0.01,0.204,71503
1.0,IdfModel,TfModel,10.0,0.3473333333333333,71503
1.0,IdfModel,TfModel,1.0,0.348,71503
1.0,IdfModel,TfModel,0.1,0.3253333333333333,71503
1.0,IdfModel,TfModel,0.01,0.20266666666666666,71503
1.0,IdfModel,TfidfModel,10.0,0.35133333333333333,71503
1.0,IdfModel,TfidfModel,1.0,0.3546666666666667,71503
1.0,IdfModel,TfidfModel,0.1,0.358,71503
1.0,IdfModel,TfidfModel,0.01,0.3253333333333333,71503
1.0,FreqModel,IdfModel,10.0,0.3506666666666667,71503
1.0,FreqModel,IdfModel,1.0,0.35,71503
1.0,FreqModel,IdfModel,0.1,0.354,71503
1.0,FreqModel,IdfModel,0.01,0.3313333333333333,71503
1.0,FreqModel,FreqModel,10.0,0.34933333333333333,71503
1.0,FreqModel,FreqModel,1.0,0.35,71503
1.0,FreqModel,FreqModel,0.1,0.32466666666666666,71503
1.0,FreqModel,FreqModel,0.01,0.202,71503
1.0,FreqModel,TfModel,10.0,0.3466666666666667,71503
1.0,FreqModel,TfModel,1.0,0.34933333333333333,71503
1.0,FreqModel,TfModel,0.1,0.324,71503
1.0,FreqModel,TfModel,0.01,0.20333333333333334,71503
1.0,FreqModel,TfidfModel,10.0,0.35133333333333333,71503
1.0,FreqModel,TfidfModel,1.0,0.35533333333333333,71503
1.0,FreqModel,TfidfModel,0.1,0.3586666666666667,71503
1.0,FreqModel,TfidfModel,0.01,0.3233333333333333,71503
0.9,IdfModel,IdfModel,10.0,0.32266666666666666,71503
0.9,IdfModel,IdfModel,1.0,0.326,71503
0.9,IdfModel,IdfModel,0.1,0.3233333333333333,71503
0.9,IdfModel,IdfModel,0.01,0.32466666666666666,71503
0.9,IdfModel,FreqModel,10.0,0.32066666666666666,71503
0.9,IdfModel,FreqModel,1.0,0.3233333333333333,71503
0.9,IdfModel,FreqModel,0.1,0.324,71503
0.9,IdfModel,FreqModel,0.01,0.32466666666666666,71503
0.9,IdfModel,TfModel,10.0,0.32133333333333336,71503
0.9,IdfModel,TfModel,1.0,0.3233333333333333,71503
0.9,IdfModel,TfModel,0.1,0.324,71503
0.9,IdfModel,TfModel,0.01,0.32466666666666666,71503
0.9,IdfModel,TfidfModel,10.0,0.318,71503
0.9,IdfModel,TfidfModel,1.0,0.324,71503
0.9,IdfModel,TfidfModel,0.1,0.3233333333333333,71503
0.9,IdfModel,TfidfModel,0.01,0.322,71503
0.9,FreqModel,IdfModel,10.0,0.3473333333333333,71503
0.9,FreqModel,IdfModel,1.0,0.3506666666666667,71503
0.9,FreqModel,IdfModel,0.1,0.352,71503
0.9,FreqModel,IdfModel,0.01,0.328,71503
0.9,FreqModel,FreqModel,10.0,0.348,71503
0.9,FreqModel,FreqModel,1.0,0.3506666666666667,71503
0.9,FreqModel,FreqModel,0.1,0.324,71503
0.9,FreqModel,FreqModel,0.01,0.20266666666666666,71503
0.9,FreqModel,TfModel,10.0,0.348,71503
0.9,FreqModel,TfModel,1.0,0.3506666666666667,71503
0.9,FreqModel,TfModel,0.1,0.32266666666666666,71503
0.9,FreqModel,TfModel,0.01,0.20266666666666666,71503
0.9,FreqModel,TfidfModel,10.0,0.3506666666666667,71503
0.9,FreqModel,TfidfModel,1.0,0.354,71503
0.9,FreqModel,TfidfModel,0.1,0.3566666666666667,71503
0.9,FreqModel,TfidfModel,0.01,0.322,71503
0.7,IdfModel,IdfModel,10.0,0.284,71503
0.7,IdfModel,IdfModel,1.0,0.2853333333333333,71503
0.7,IdfModel,IdfModel,0.1,0.2866666666666667,71503
0.7,IdfModel,IdfModel,0.01,0.2853333333333333,71503
0.7,IdfModel,FreqModel,10.0,0.28733333333333333,71503
0.7,IdfModel,FreqModel,1.0,0.288,71503
0.7,IdfModel,FreqModel,0.1,0.28733333333333333,71503
0.7,IdfModel,FreqModel,0.01,0.286,71503
0.7,IdfModel,TfModel,10.0,0.28733333333333333,71503
0.7,IdfModel,TfModel,1.0,0.288,71503
0.7,IdfModel,TfModel,0.1,0.28733333333333333,71503
0.7,IdfModel,TfModel,0.01,0.2866666666666667,71503
0.7,IdfModel,TfidfModel,10.0,0.2866666666666667,71503
0.7,IdfModel,TfidfModel,1.0,0.28733333333333333,71503
0.7,IdfModel,TfidfModel,0.1,0.288,71503
0.7,IdfModel,TfidfModel,0.01,0.286,71503
0.7,FreqModel,IdfModel,10.0,0.3473333333333333,71503
0.7,FreqModel,IdfModel,1.0,0.3526666666666667,71503
0.7,FreqModel,IdfModel,0.1,0.358,71503
0.7,FreqModel,IdfModel,0.01,0.32666666666666666,71503
0.7,FreqModel,FreqModel,10.0,0.3486666666666667,71503
0.7,FreqModel,FreqModel,1.0,0.35,71503
0.7,FreqModel,FreqModel,0.1,0.316,71503
0.7,FreqModel,FreqModel,0.01,0.20533333333333334,71503
0.7,FreqModel,TfModel,10.0,0.34933333333333333,71503
0.7,FreqModel,TfModel,1.0,0.3486666666666667,71503
0.7,FreqModel,TfModel,0.1,0.316,71503
0.7,FreqModel,TfModel,0.01,0.20533333333333334,71503
0.7,FreqModel,TfidfModel,10.0,0.3466666666666667,71503
0.7,FreqModel,TfidfModel,1.0,0.35533333333333333,71503
0.7,FreqModel,TfidfModel,0.1,0.35933333333333334,71503
0.7,FreqModel,TfidfModel,0.01,0.31466666666666665,71503
0.5,IdfModel,IdfModel,10.0,0.24333333333333335,71503
0.5,IdfModel,IdfModel,1.0,0.24333333333333335,71503
0.5,IdfModel,IdfModel,0.1,0.24333333333333335,71503
0.5,IdfModel,IdfModel,0.01,0.24333333333333335,71503
0.5,IdfModel,FreqModel,10.0,0.24133333333333334,71503
0.5,IdfModel,FreqModel,1.0,0.24133333333333334,71503
0.5,IdfModel,FreqModel,0.1,0.24133333333333334,71503
0.5,IdfModel,FreqModel,0.01,0.24133333333333334,71503
0.5,IdfModel,TfModel,10.0,0.24133333333333334,71503
0.5,IdfModel,TfModel,1.0,0.24133333333333334,71503
0.5,IdfModel,TfModel,0.1,0.24133333333333334,71503
0.5,IdfModel,TfModel,0.01,0.24133333333333334,71503
0.5,IdfModel,TfidfModel,10.0,0.24133333333333334,71503
0.5,IdfModel,TfidfModel,1.0,0.24133333333333334,71503
0.5,IdfModel,TfidfModel,0.1,0.24133333333333334,71503
0.5,IdfModel,TfidfModel,0.01,0.24133333333333334,71503
0.5,FreqModel,IdfModel,10.0,0.3466666666666667,71503
0.5,FreqModel,IdfModel,1.0,0.35533333333333333,71503
0.5,FreqModel,IdfModel,0.1,0.358,71503
0.5,FreqModel,IdfModel,0.01,0.32,71503
0.5,FreqModel,FreqModel,10.0,0.35133333333333333,71503
0.5,FreqModel,FreqModel,1.0,0.35133333333333333,71503
0.5,FreqModel,FreqModel,0.1,0.31466666666666665,71503
0.5,FreqModel,FreqModel,0.01,0.20666666666666667,71503
0.5,FreqModel,TfModel,10.0,0.35,71503
0.5,FreqModel,TfModel,1.0,0.352,71503
0.5,FreqModel,TfModel,0.1,0.31466666666666665,71503
0.5,FreqModel,TfModel,0.01,0.20733333333333334,71503
0.5,FreqModel,TfidfModel,10.0,0.348,71503
0.5,FreqModel,TfidfModel,1.0,0.354,71503
0.5,FreqModel,TfidfModel,0.1,0.3586666666666667,71503
0.5,FreqModel,TfidfModel,0.01,0.312,71503
0.3,IdfModel,IdfModel,10.0,0.232,71503
0.3,IdfModel,IdfModel,1.0,0.232,71503
0.3,IdfModel,IdfModel,0.1,0.23066666666666666,71503
0.3,IdfModel,IdfModel,0.01,0.23133333333333334,71503
0.3,IdfModel,FreqModel,10.0,0.232,71503
0.3,IdfModel,FreqModel,1.0,0.23133333333333334,71503
0.3,IdfModel,FreqModel,0.1,0.23066666666666666,71503
0.3,IdfModel,FreqModel,0.01,0.23133333333333334,71503
0.3,IdfModel,TfModel,10.0,0.232,71503
0.3,IdfModel,TfModel,1.0,0.23133333333333334,71503
0.3,IdfModel,TfModel,0.1,0.23066666666666666,71503
0.3,IdfModel,TfModel,0.01,0.23133333333333334,71503
0.3,IdfModel,TfidfModel,10.0,0.23066666666666666,71503
0.3,IdfModel,TfidfModel,1.0,0.232,71503
0.3,IdfModel,TfidfModel,0.1,0.23066666666666666,71503
0.3,IdfModel,TfidfModel,0.01,0.23133333333333334,71503
0.3,FreqModel,IdfModel,10.0,0.35,71503
0.3,FreqModel,IdfModel,1.0,0.356,71503
0.3,FreqModel,IdfModel,0.1,0.356,71503
0.3,FreqModel,IdfModel,0.01,0.30333333333333334,71503
0.3,FreqModel,FreqModel,10.0,0.35,71503
0.3,FreqModel,FreqModel,1.0,0.35,71503
0.3,FreqModel,FreqModel,0.1,0.30533333333333335,71503
0.3,FreqModel,FreqModel,0.01,0.20666666666666667,71503
0.3,FreqModel,TfModel,10.0,0.34933333333333333,71503
0.3,FreqModel,TfModel,1.0,0.3473333333333333,71503
0.3,FreqModel,TfModel,0.1,0.30533333333333335,71503
0.3,FreqModel,TfModel,0.01,0.20666666666666667,71503
0.3,FreqModel,TfidfModel,10.0,0.3546666666666667,71503
0.3,FreqModel,TfidfModel,1.0,0.3626666666666667,71503
0.3,FreqModel,TfidfModel,0.1,0.35333333333333333,71503
0.3,FreqModel,TfidfModel,0.01,0.3006666666666667,71503
0.1,IdfModel,IdfModel,10.0,0.204,71503
0.1,IdfModel,IdfModel,1.0,0.204,71503
0.1,IdfModel,IdfModel,0.1,0.20333333333333334,71503
0.1,IdfModel,IdfModel,0.01,0.204,71503
0.1,IdfModel,FreqModel,10.0,0.20333333333333334,71503
0.1,IdfModel,FreqModel,1.0,0.20333333333333334,71503
0.1,IdfModel,FreqModel,0.1,0.20333333333333334,71503
0.1,IdfModel,FreqModel,0.01,0.20333333333333334,71503
0.1,IdfModel,TfModel,10.0,0.20333333333333334,71503
0.1,IdfModel,TfModel,1.0,0.20333333333333334,71503
0.1,IdfModel,TfModel,0.1,0.20333333333333334,71503
0.1,IdfModel,TfModel,0.01,0.20333333333333334,71503
0.1,IdfModel,TfidfModel,10.0,0.20266666666666666,71503
0.1,IdfModel,TfidfModel,1.0,0.20266666666666666,71503
0.1,IdfModel,TfidfModel,0.1,0.20333333333333334,71503
0.1,IdfModel,TfidfModel,0.01,0.20333333333333334,71503
0.1,FreqModel,IdfModel,10.0,0.3313333333333333,71503
0.1,FreqModel,IdfModel,1.0,0.3426666666666667,71503
0.1,FreqModel,IdfModel,0.1,0.324,71503
0.1,FreqModel,IdfModel,0.01,0.26466666666666666,71503
0.1,FreqModel,FreqModel,10.0,0.336,71503
0.1,FreqModel,FreqModel,1.0,0.334,71503
