p,kind,vkind,C,accuracy,voc
0.5,FreqModel,IdfModel,1.0,0.6018099547511312,55633
0.9,FreqModel,IdfModel,1.0,0.5962203886079318,100140
0.7,FreqModel,IdfModel,1.0,0.6002129358530742,77886
1.0,IdfModel,IdfModel,1.0,0.5978174075059888,111267
1.0,FreqModel,IdfModel,1.0,0.5972850678733032,111267
0.9,FreqModel,TfidfModel,1.0,0.5986159169550173,100140
1.0,IdfModel,TfidfModel,1.0,0.5970188980569603,111267
1.0,FreqModel,TfidfModel,1.0,0.5970188980569603,111267
0.7,FreqModel,IdfModel,0.1,0.5749268033005057,77886
0.9,FreqModel,IdfModel,10.0,0.5927601809954751,100140
