p,kind,vkind,C,accuracy,voc
0.5,IdfModel,FreqModel,0.1,0.4429065743944637,55779
1.0,IdfModel,TfModel,1.0,0.5701357466063348,111559
1.0,IdfModel,TfModel,10.0,0.5751929731168486,111559
0.3,FreqModel,IdfModel,10.0,0.5778546712802768,33467
0.9,IdfModel,TfModel,0.01,0.5288794250731967,100403
0.3,IdfModel,IdfModel,0.1,0.34016502528613257,33467
0.7,IdfModel,TfidfModel,0.1,0.48682459409103007,78091
0.3,IdfModel,TfidfModel,0.01,0.34096353473516106,33467
1.0,IdfModel,FreqModel,0.1,0.44450359329252065,111559
0.5,FreqModel,FreqModel,10.0,0.5754591429331913,55779
