p,kind,vkind,C,accuracy,voc
0.3,FreqModel,TfidfModel,1.0,0.5967527282406175,33380
0.3,FreqModel,TfidfModel,10.0,0.5938248602608465,33380
0.3,FreqModel,IdfModel,1.0,0.5980835773223316,33380
0.1,FreqModel,IdfModel,1.0,0.5940910300771892,11126
0.3,FreqModel,IdfModel,0.1,0.5525685387277083,33380
0.1,FreqModel,IdfModel,0.1,0.49534202821400053,11126
0.3,FreqModel,TfidfModel,0.1,0.5413894064413095,33380
0.3,FreqModel,IdfModel,10.0,0.5922278413627895,33380
0.1,FreqModel,FreqModel,1.0,0.5507053500133084,11126
0.1,FreqModel,TfModel,1.0,0.5496406707479372,11126
