p,kind,vkind,C,accuracy,voc
0.3,FreqModel,TfidfModel,1.0,0.6693290734824281,37160
0.3,FreqModel,IdfModel,1.0,0.6589456869009584,37160
0.3,FreqModel,IdfModel,0.1,0.5958466453674122,37160
0.3,FreqModel,TfidfModel,10.0,0.6701277955271565,37160
0.3,FreqModel,TfidfModel,0.1,0.5782747603833865,37160
0.3,FreqModel,IdfModel,10.0,0.6629392971246006,37160
0.3,FreqModel,FreqModel,10.0,0.6685303514376997,37160
0.3,FreqModel,FreqModel,1.0,0.6381789137380192,37160
0.3,FreqModel,TfModel,10.0,0.6685303514376997,37160
0.3,FreqModel,TfModel,1.0,0.6381789137380192,37160
